Administrative,Informational,ProductRelated,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Customer Name,City,State,Email,Weekend,total_duration,Revenue
6,5,84,0.010771277,0.016381748,7.477388113,0,Nov,1,2,1,1,Returning_Visitor,Amber Newman,East Michaelshire,Massachusetts,amber.newman@gmail.com,FALSE,3721.742121,Buyers
7,4,37,0.004545455,0.018181818,60.42298474,0,Nov,2,2,1,2,Returning_Visitor,Darren Jensen,Smithburgh,Maryland,darren.jensen@gmail.com,FALSE,1032.041667,Buyers
12,6,127,0.008844998,0.017025608,33.85339122,0,Nov,3,1,1,2,Returning_Visitor,Derrick Berry,Fosterside,Kentucky,derrick.berry@gmail.com,TRUE,4424.644636,Buyers
0,0,31.786971110565513,0,0.016666667,0,0,Mar,1,1,5,5,Returning_Visitor,Jacqueline Davis,Lisaborough,Connecticut,jacqueline.davis@gmail.com,FALSE,425.1666667,Non-Buyers
2,0,5,0,0.014285714,0,0,Jul,1,1,5,2,New_Visitor,Courtney Molina,Michaelmouth,Montana,courtney.molina@gmail.com,FALSE,413.7,Non-Buyers
3,1,26,0,0.007142857,34.34857143,0,May,2,2,5,1,New_Visitor,William Ruiz,Estradamouth,Maine,william.ruiz@gmail.com,FALSE,1738.9,Buyers
3,0,55,0,0.002222222,0,0,Mar,4,2,1,2,New_Visitor,John White,Annfort,Nebraska,john.white@gmail.com,FALSE,1090.742857,Non-Buyers
10,1,26,0.019362745,0.025837468,10.59553121,0,Aug,1,1,1,4,Returning_Visitor,Wanda House,West Kevin,Iowa,wanda.house@gmail.com,FALSE,2973.345523,Non-Buyers
0,0,4,0,0.066666667,0,0,May,3,2,4,3,Returning_Visitor,Sophia Brown,Lake Joseph,Illinois,sophia.brown@gmail.com,FALSE,123,Non-Buyers
11,0,69,0.008552632,0.032956586,0,0,Jul,2,2,5,5,Returning_Visitor,Timothy Good,Lake Jessica,Texas,timothy.good@gmail.com,FALSE,2275.108539,Non-Buyers
2,0,28,0.007142857,0.023809524,5.569285714,0,May,2,2,2,5,Returning_Visitor,Ashley Lowe,Rubenton,Connecticut,ashley.lowe@gmail.com,TRUE,2815.333333,Non-Buyers
0,0,28,0.007142857,0.032380952,11.01942857,0,May,2,4,3,2,Returning_Visitor,Robert Bowers,Moodyville,North Carolina,robert.bowers@gmail.com,FALSE,1384.071429,Buyers
2,2,15,0.003703704,0.063333333,12.1360201,0,Jul,2,2,5,3,Returning_Visitor,Joshua Moreno,Meganville,Montana,joshua.moreno@gmail.com,TRUE,1887.6,Non-Buyers
11,2,49,0,0.020562771,0,0,Sep,2,5,4,1,Returning_Visitor,Tracy Underwood,Quinnborough,Minnesota,tracy.underwood@gmail.com,FALSE,2097.55,Buyers
0,0,6,0,0.033333333,0,0,May,2,2,1,3,Returning_Visitor,Mary Frazier,Lake Brittneyborough,Oregon,mary.frazier@gmail.com,FALSE,102,Non-Buyers
3,0,12,0,0.015384615,0,0,Mar,2,2,3,2,New_Visitor,Vanessa Shaw,Huffmanview,Florida,vanessa.shaw@gmail.com,FALSE,420,Non-Buyers
7,5,29,0,0.013153595,0,0.2,May,1,1,1,2,Returning_Visitor,Jessica Bates,New Jeffview,Oregon,jessica.bates@gmail.com,FALSE,795.5297619,Non-Buyers
0,0,25,0,0.014782609,0,0,May,3,2,4,2,Returning_Visitor,Craig Harrell,Dustinburgh,Michigan,craig.harrell@gmail.com,FALSE,588.7190476,Non-Buyers
0,0,2,0.2,0.2,0,0.8,May,3,2,1,5,Returning_Visitor,Thomas Ortega,Pamelaville,Wyoming,thomas.ortega@gmail.com,FALSE,0,Non-Buyers
0,0,1,0.2,0.2,0,0,Nov,4,1,1,3,New_Visitor,Leslie Jefferson,South Jason,Hawaii,leslie.jefferson@gmail.com,FALSE,0,Non-Buyers
0,0,37,0,0.01829932,0,0,Nov,2,2,1,5,Returning_Visitor,Russell Thompson,West Christopher,Virginia,russell.thompson@gmail.com,FALSE,5208.65,Non-Buyers
3,0,14,0,0.023076923,0,0,Nov,1,1,4,2,Returning_Visitor,Kenneth Hodges,Lake Jeffreyport,Mississippi,kenneth.hodges@gmail.com,FALSE,1342.666666,Non-Buyers
12,4,107,0,0.015489592,6.479206264,0,Nov,1,2,1,2,Returning_Visitor,Stephen Riley,Lake Cynthiamouth,Tennessee,stephen.riley@gmail.com,TRUE,3716.576723,Buyers
3,0,19,0.009090909,0.020295983,0,0,Sep,3,5,5,2,Returning_Visitor,Catherine Armstrong,New Lori,Minnesota,catherine.armstrong@gmail.com,FALSE,442.00303030000003,Non-Buyers
0,0,3,0,0.022222222,0,0,Mar,2,2,1,3,Returning_Visitor,Shannon Meyer,Markport,Vermont,shannon.meyer@gmail.com,FALSE,227.5,Non-Buyers
1,0,2,0,0.066666667,0,0,Oct,2,2,5,4,Returning_Visitor,Tony Hernandez,North Bradley,Oklahoma,tony.hernandez@gmail.com,FALSE,21,Non-Buyers
1,0,16,0,0.011458333,17.991,0,May,2,2,1,4,Returning_Visitor,Pamela Brewer,Heathermouth,Minnesota,pamela.brewer@gmail.com,FALSE,483.8333333,Non-Buyers
0,0,14,0,0.021428571,0,0,Dec,2,2,1,2,New_Visitor,Michael Burton,Crystalberg,Arkansas,michael.burton@gmail.com,FALSE,1404.75,Non-Buyers
0,0,15,0.014285714,0.028571429,0,0,Mar,2,2,2,1,Returning_Visitor,Michael Taylor,Montgomeryton,Kansas,michael.taylor@gmail.com,FALSE,695.4,Non-Buyers
3,0,9,0,0,0,0,Oct,1,1,1,3,New_Visitor,Tina Brown,Coreyside,Vermont,tina.brown@gmail.com,FALSE,214.46666670000002,Non-Buyers
0,0,5,0,0.02,0,0,Jul,2,2,5,1,Returning_Visitor,Nicholas Craig,Hallmouth,Georgia,nicholas.craig@gmail.com,TRUE,190.6,Non-Buyers
0,0,10,0.04,0.076666667,0,0,Nov,3,2,1,3,Returning_Visitor,Marie Campbell,Baldwinberg,New York,marie.campbell@gmail.com,FALSE,130.75,Non-Buyers
4,0,37,0.005263158,0.017105263,5.903402354316805,0,Nov,1,1,1,2,Returning_Visitor,Julie Miller,Lake Stephanie,Louisiana,julie.miller@gmail.com,FALSE,921.1277622667511,Buyers
0,0,11,0.018181818,0.042424242,0,0,May,2,2,5,5,Returning_Visitor,Lisa Taylor,Michellehaven,Wisconsin,lisa.taylor@gmail.com,FALSE,1055.5,Non-Buyers
0,0,38,0.005263158,0.016666667,0,0,Nov,1,1,1,2,Returning_Visitor,Kristin Camacho,Randyside,New York,kristin.camacho@gmail.com,FALSE,1326.430556,Non-Buyers
0,0,1,0.2,0.2,0,0,Mar,1,1,3,3,Returning_Visitor,Valerie Collins,Timothybury,Indiana,valerie.collins@gmail.com,FALSE,0,Non-Buyers
3,0,46,0.017730496,0.039361702,0,0,May,2,2,3,5,Returning_Visitor,Patricia Phelps,Chelseaview,Connecticut,patricia.phelps@gmail.com,FALSE,1842.4,Non-Buyers
0,0,6,0,0.033333333,0,0,Nov,2,5,3,3,Returning_Visitor,Diane Paul,Natalieland,Arkansas,diane.paul@gmail.com,FALSE,89.66666667,Non-Buyers
0,0,21,0,0.014035088,0,0,May,3,2,3,1,Returning_Visitor,Travis Whitehead,Smithmouth,Vermont,travis.whitehead@gmail.com,FALSE,761.25,Non-Buyers
2,0,25,0,0.007692308,77.4579855,0,Nov,2,2,5,2,New_Visitor,Matthew Forbes,Evelynstad,Ohio,matthew.forbes@gmail.com,FALSE,299.1366667,Non-Buyers
7,0,48,0,0.016993464,53.988,0,May,2,2,2,2,Returning_Visitor,Joanne Wagner,West Kathryn,New Jersey,joanne.wagner@gmail.com,FALSE,1774.02381,Non-Buyers
0,0,1,0.2,0.2,0,0,May,1,1,1,5,Returning_Visitor,Travis Miller,Leemouth,North Dakota,travis.miller@gmail.com,FALSE,0,Non-Buyers
4,0,60,0.000287356,0.019676875,0,0.4,May,2,5,2,1,Returning_Visitor,Carlos Fernandez,Emilyville,South Carolina,carlos.fernandez@gmail.com,FALSE,3241.398654,Non-Buyers
0,0,8,0,0.00625,0,0,Dec,1,1,1,2,New_Visitor,Brittney Taylor,Feliciamouth,Illinois,brittney.taylor@gmail.com,FALSE,221.5,Non-Buyers
0,0,8,0,0.05,0,0.2,May,2,2,3,4,Returning_Visitor,Tony Duncan,Arianaside,New Jersey,tony.duncan@gmail.com,FALSE,321,Non-Buyers
0,0,15,0.023809524,0.066666667,0,1,May,2,2,5,1,Returning_Visitor,Matthew Mack,Christopherborough,New York,matthew.mack@gmail.com,TRUE,216,Non-Buyers
0,0,20,0,0.010526316,104.2012273,0,Sep,2,2,1,2,Returning_Visitor,Cynthia Hernandez,New Sherry,Alabama,cynthia.hernandez@gmail.com,FALSE,526.8,Buyers
0,0,2,0,0.1,0,0,Nov,2,2,4,5,Returning_Visitor,Henry Maynard,East Mike,North Dakota,henry.maynard@gmail.com,FALSE,16,Non-Buyers
6,1,58,0.00625,0.020729167,0,0,Nov,1,2,1,2,Returning_Visitor,Eric Kim,New Michealfort,Kansas,eric.kim@gmail.com,FALSE,3241.01282,Buyers
2,0,10,0,0.022222222,0,0,May,2,4,4,2,Returning_Visitor,Patricia Thomas,Kristinmouth,West Virginia,patricia.thomas@gmail.com,FALSE,909.6666667,Non-Buyers
0,0,8,0.057142857,0.095238095,0,0,Mar,1,2,2,1,Returning_Visitor,Shaun Velazquez,East Hannah,Vermont,shaun.velazquez@gmail.com,FALSE,83,Non-Buyers
0,0,22,0.009090909,0.047727273,0,0,Nov,3,2,5,5,Returning_Visitor,Tonya Lloyd,East Julieland,Idaho,tonya.lloyd@gmail.com,TRUE,246.6458333,Non-Buyers
0,0,12,0,0.069444444,0,0.8,May,2,2,2,2,Returning_Visitor,Andrew Elliott,New Jill,Texas,andrew.elliott@gmail.com,FALSE,168.2857143,Non-Buyers
1,0,36,0,0.005882353,0,0,May,2,4,5,3,Returning_Visitor,Timothy Schroeder,South Timothy,Georgia,timothy.schroeder@gmail.com,FALSE,680.2857143,Non-Buyers
1,0,29,0.011555556,0.046190476,0,0.8,May,2,4,5,3,Returning_Visitor,Jeremy Williams,East Gregory,Indiana,jeremy.williams@gmail.com,FALSE,1412.5,Non-Buyers
0,0,20,0.022222222,0.044444444,0,0,May,2,2,5,4,Returning_Visitor,Michael Ponce,South Morganburgh,Nebraska,michael.ponce@gmail.com,TRUE,457.5833333,Non-Buyers
0,0,113,0.003896104,0.030191572,0,0,Nov,2,2,3,2,Returning_Visitor,Leslie Williams,Pricehaven,Wyoming,leslie.williams@gmail.com,FALSE,5178.531731,Buyers
0,0,32,0.025,0.084375,0,0,Jun,2,2,5,5,Returning_Visitor,Anthony Wilson,Lake Ryan,Minnesota,anthony.wilson@gmail.com,FALSE,707.7,Non-Buyers
0,0,7,0,0.028571429,49.36350729,0,Nov,2,2,2,5,Returning_Visitor,Nathan Myers,Lake Nancyside,Arkansas,nathan.myers@gmail.com,TRUE,343.25,Buyers
0,0,5,0,0.04,0,0,Mar,2,2,5,2,Returning_Visitor,Anita Kelley,West Mary,Maryland,anita.kelley@gmail.com,FALSE,29,Non-Buyers
0,0,31,0.019354839,0.030322581,0,0,Nov,2,2,2,3,Returning_Visitor,Eric Anderson,Ryanport,North Carolina,eric.anderson@gmail.com,FALSE,445.625,Non-Buyers
0,0,38,0.010526316,0.037593985,0,0.4,May,2,2,3,5,Returning_Visitor,Edward Grant,Moranview,Louisiana,edward.grant@gmail.com,FALSE,586.3333333,Non-Buyers
2.321814608581723,0,20,0.005555556,0.066666667,0,0,Dec,1,1,1,2,Returning_Visitor,Yolanda Moran,Deniseport,Idaho,yolanda.moran@gmail.com,FALSE,381.9409776,Non-Buyers
0,0,6,0.066666667,0.1,0,0,Jun,2,2,1,3,Returning_Visitor,Timothy Moore,South Kyle,Texas,timothy.moore@gmail.com,FALSE,351.4,Non-Buyers
3,0,2,0,0.025,0,0,Mar,3,2,1,5,Returning_Visitor,Shelia Wright,Coopermouth,Pennsylvania,shelia.wright@gmail.com,TRUE,289,Non-Buyers
0,0,55,0.013207547,0.018742138,0,0,May,3,2,1,5,Returning_Visitor,Michelle Chen,Flemingborough,Utah,michelle.chen@gmail.com,FALSE,1165.623254,Non-Buyers
0,0,25,0.004,0.052,0,0,May,2,2,1,5,Returning_Visitor,Jeffrey Campos,North Amanda,New Mexico,jeffrey.campos@gmail.com,FALSE,1838.5,Non-Buyers
1,0,26,0,0.007692308,0,0,Jul,2,5,3,3,New_Visitor,Lisa Simmons,Tiffanyborough,Kansas,lisa.simmons@gmail.com,TRUE,437.1366667,Non-Buyers
3,0,2,0,0.04,0,0,Mar,2,5,1,1,Returning_Visitor,Nathan Stephens,Port Anthony,Massachusetts,nathan.stephens@gmail.com,FALSE,43,Non-Buyers
11,0,440,0.00185022,0.01009842,1.558381388,1,May,2,2,1,5,Returning_Visitor,Michael Daniels,Nelsonview,Oklahoma,michael.daniels@gmail.com,TRUE,10034.10399,Non-Buyers
